City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
216,Jumla,NP,29.27,82.18,62.01,71,67,1.66,broken clouds,0.0,0
217,Setermoen,NO,68.86,18.35,53.6,87,75,6.93,light intensity shower rain,0.0,0
218,Souillac,MU,-20.52,57.52,75.2,60,40,18.34,scattered clouds,0.0,0
219,Kaitangata,NZ,-46.28,169.85,37.0,73,40,1.99,scattered clouds,0.0,0
220,Kondoa,TZ,-4.9,35.78,80.02,32,9,6.35,clear sky,0.0,0
221,Turbat,PK,26.0,63.04,90.81,56,38,14.67,scattered clouds,0.0,0
222,Coahuayana,MX,18.73,-103.68,73.4,83,75,4.88,broken clouds,0.0,0
223,The Valley,AI,18.22,-63.06,84.2,74,20,14.99,haze,0.0,0
224,Wolsztyn,PL,52.12,16.12,69.01,34,52,11.41,broken clouds,0.0,0
225,Bocana De Paiwas,NI,12.79,-85.12,76.95,86,50,11.18,scattered clouds,0.0,0
226,Santa Marinella,IT,42.03,11.85,82.99,61,2,6.33,clear sky,0.0,0
227,Pangnirtung,CA,66.15,-65.71,49.59,64,97,3.56,overcast clouds,0.0,0
228,Dan Khun Thot,TH,15.21,101.77,81.01,78,100,5.48,light rain,0.35,0
229,Sokoni,TZ,-6.43,39.55,86.0,66,20,11.41,few clouds,0.0,0
230,Tilichiki,RU,60.47,166.1,46.98,100,82,5.1,broken clouds,0.0,0
231,Egvekinot,RU,66.32,-179.17,49.68,65,3,2.13,clear sky,0.0,0
232,Sao Filipe,CV,14.9,-24.5,74.64,76,29,9.42,scattered clouds,0.0,0
233,Bafra,TR,41.57,35.91,80.6,65,20,8.05,few clouds,0.0,0
234,Bousse,BF,12.66,-1.89,93.04,40,6,3.27,clear sky,0.0,0
235,Constitucion,CL,-35.33,-72.42,52.77,66,100,2.53,overcast clouds,0.0,0
236,Shahr-E Babak,IR,30.12,55.12,91.6,11,47,7.27,scattered clouds,0.0,0
237,Tura,IN,25.52,90.22,75.56,98,82,6.42,light rain,0.74,0
238,Abadiania,BR,-16.2,-48.71,71.6,37,20,8.05,few clouds,0.0,0
239,Iskateley,RU,67.68,53.15,56.25,91,100,15.9,light rain,0.15,0
240,Nador,MA,35.17,-2.93,84.2,69,20,5.82,few clouds,0.0,0
241,Narrabri,AU,-30.32,149.78,45.0,93,0,1.16,clear sky,0.0,0
242,Acarau,BR,-2.89,-40.12,85.32,57,24,10.54,few clouds,0.0,0
243,Buin,CL,-33.73,-70.75,44.6,93,100,2.24,mist,0.0,0
244,Bethel,US,41.37,-73.41,75.0,78,1,10.29,clear sky,0.0,0
245,Yuncheng,CN,35.02,110.99,71.42,77,98,3.53,overcast clouds,0.0,0
246,Kenai,US,60.55,-151.26,53.6,93,90,13.87,light rain,0.64,0
