City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
149,Tabuk,PH,78.06,17.42,121.44,broken clouds,Grand Zion Garden Resort Hotel
154,Harper,LR,75.24,4.38,-7.72,overcast clouds,Screensaver
158,Le Vauclin,MQ,84.2,14.55,-60.84,broken clouds,Hôtel Cap Macabou
163,Cayenne,GF,82.4,4.93,-52.33,few clouds,Hôtel Le Dronmi
166,Jalu,LY,75.02,29.03,21.55,clear sky,Jalu Hotel
170,Malkangiri,IN,77.72,18.35,81.9,overcast clouds,Girls' Hostel
172,Wanning,CN,82.35,18.8,110.4,broken clouds,Paradise Hotel
174,Bethel,US,79.0,41.37,-73.41,few clouds,Courtyard by Marriott Danbury
176,Hambantota,LK,80.28,6.12,81.12,overcast clouds,Bungalow 63
180,Shingu,JP,75.29,33.73,135.98,overcast clouds,Shingu UI Hotel
183,Shieli,KZ,78.19,44.17,66.75,clear sky,Gostinitsa Aybek Shieli
189,Portland,US,80.01,45.52,-122.68,broken clouds,Portland Marriott City Center
192,Bandarbeyla,SO,80.24,9.49,50.81,broken clouds,REER XOOSHLE GROUP
193,Mayo,US,87.8,38.89,-76.51,clear sky,Resorts Resource Group International
201,Iracoubo,GF,79.97,5.48,-53.2,scattered clouds,Le Gite D Iracoubo
203,Kieta,PG,84.65,-6.22,155.63,overcast clouds,
